Nom du site où est dispensée la formation,Adresse du site de formation,Complément d’adresse du site de formation,Suite du complément d’adresse du site de formation,Ville du site de formation,Coordonnées géographiques du site de formation,Nom officiel (long) de l’établissement accrédité,Intitulé de la mention de master,Modalités d’enseignement de la mention,Intitulé du parcours,Modalités d’enseignement du parcours,Domaine(s) de la mention de master,Existence d’une capacité d’accueil limitée au 1er semestre,Capacité d’accueil limitée au 1er semestre,Année de la campagne de recueil des informations,Licences conseillées pour suivre la formation de la mention,URL de la fiche relative à la mention sur le site internet de l’établissement
Université de la Nouvelle Calédonie,145  AVENUE JAMES COOK,BP R4,,NOUMEA CEDEX,,Université de la Nouvelle Calédonie,Science de la durabilité,Formation initiale,,,SCIENCES ET TECHNOLOGIES,,,2021.0,,
Université de Lille,Faculté des Sciences et Technologies,Département Informatique,Cité Scientifique,Villeneuve d'Ascq Cedex,"0.0,-0.0",Université de Lille,Science des données,Formation initiale|Formation continue,,,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,25.0,2021.0,"Informatique|Mathématiques|Electronique, énergie électrique, automatique",https://www.univ-lille.fr/formations/typeDiplome/master
Université des Sciences et Techniques de Hanoi – USTH,Campus de la VAST,,,Hanoi,"21.048082,105.80123",Université Paris-XI,Science des matériaux avancés et nanotechnologie / Advanced Materials Science and Nanotechnology,Formation initiale,Matériaux pour la structure et l'énergie,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Sans objet,,2019.0,,
Université Paris-Saclay,Route de l'Orme aux Merisiers RD,,,ST AUBIN,,Université Paris-Saclay,Science politique,Formation initiale|Formation continue|Apprentissage,M2 Politiques de prévention et de sécurité,Formation initiale|Formation continue,"SCIENCES HUMAINES ET SOCIALES | DROIT, ECONOMIE, GESTION",Oui,70.0,2021.0,,
Université de Rouen,1  RUE THOMAS BECKET,,,MONT ST AIGNAN CEDEX,,Université de Rouen,Sciences Infirmières,Formation initiale|Formation à distance,Infirmier en Pratique avancée - Psychiatrie et santé mentale,Formation initiale|Formation à distance,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,100.0,2021.0,,
Ecole normale supérieure de Lyon,15  PARVIS RENE DESCARTES,,,LYON CEDEX 07,,Ecole normale supérieure de Lyon,Sciences cognitives,Formation initiale,Sciences Cognitives Fondamentales et Appliquées,Formation initiale,SCIENCES HUMAINES ET SOCIALES,Oui,4.0,2021.0,,
UFR d'éducation,163  RUE AUGUSTE BROUSSONNET,,,MONTPELLIER,"43.621117,3.867654",Université de Montpellier,Sciences de l'Education,Formation initiale|Formation continue,,,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,60.0,2021.0,"Lettres|Economie|Sciences de l'éducation|Sciences du langage|Langues étrangères appliquées|Langues, littératures et civilisations étrangères et régionales|Lettres, langues|Economie et gestion|Sciences et technologies",https://formations.umontpellier.fr/odf/innovation_education_et_societe.html
Institut supérieur de l'aéronautique et de l'espace (ISAE),10  AVENUE EDOUARD BELIN,,,TOULOUSE CEDEX 4,,Institut supérieur de l'aéronautique et de l'espace (ISAE),Sciences de l'Univers et technologies spatiales,Formation initiale,,,"SCIENCES, TECHNOLOGIES, SANTÉ",Sans objet,,2021.0,,
INSA Rennes,20 avenue des Buttes de Coësmes,CS 70839,,RENNES Cedex 7,"48.122923,-1.636779",Institut national des sciences appliquées de Rennes,Sciences de l'eau,Formation initiale,"Hydro-géologie, hydro-biogéochimie, hydro-pédologie",Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Sans objet,,2020.0,,
Ecole nationale supérieure des sciences de l'information et des bibliothèques,17-21. boulevard du 11 novembre 1918,,,Villeurbanne,"45.779457,4.86213",Ecole nationale supérieure des sciences de l'information et des bibliothèques,Sciences de l'information et des bibliothèques,Formation initiale,PANIST,Formation initiale|Alternance|Apprentissage,SCIENCES HUMAINES ET SOCIALES,Oui,50.0,2020.0,,
Université Lyon-I,43 BOULEVARD DU 11 NOVEMBRE 1918,,,VILLEURBANNE CEDEX,,Université Lyon-I,"Sciences de l'océan, de l'atmosphère et du climat",Formation initiale|Formation continue|Alternance|Apprentissage,CLIMAT,Formation initiale|Formation continue|Alternance|Apprentissage,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,60.0,2021.0,,
Ecole nationale supérieure des techniques avancées ParisTech,828  BOULEVARD DES MARECHAUX,,,PALAISEAU,"48.710371,2.219392",Ecole nationale supérieure des techniques avancées ParisTech,"Sciences de l'univers, Environnement, Ecologie",Formation initiale,,,"SCIENCES, TECHNOLOGIES, SANTÉ",Sans objet,,2019.0,,
Université de Lille,Département SEFA,,Cité Scientifique,Villeneuve d'Ascq Cedex,"0.0,-0.0",Université de Lille,Sciences de l'éducation et de la formation,Formation initiale|Formation continue|Formation à distance,Ingénierie de la formation des adultes,Formation initiale|Formation continue|Formation à distance,SCIENCES HUMAINES ET SOCIALES,Oui,250.0,2020.0,,
BURES SUR YVETTE,,,,BURES SUR YVETTE,"0.0,-0.0",Université Paris-Saclay,"Sciences de la Terre et des planètes, environnement",Formation initiale|Formation continue|Apprentissage,M1 Environnement et Génie Géologique,Formation initiale|Apprentissage,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,98.0,2020.0,,
Ecole normale supérieure de Lyon,15  PARVIS RENE DESCARTES,,,LYON CEDEX 07,,Ecole normale supérieure de Lyon,Sciences de la matière,Formation initiale,FEADéP (physique),Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,34.0,2021.0,,
Perpignan,UFR SCIENCES EXACTES ET EXPERIMENTALES,UNIVERSITE DE PERPIGNAN,52. Avenue PAUL ALDUY,PERPIGNAN,"42.682878,2.90181",Université de Perpignan,Sciences de la mer,Formation initiale,Géosciences marines et environnements aquatiques,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,28.0,2019.0,Géographie et aménagement|Sciences de la Terre|Sciences de la vie et de la Terre,https://www.univ-perp.fr/fr/je-choisis-ma-formation
