Session,Établissement,Académie de l’établissement,Commune de l’établissement,Sélectivité,Filière de formation très agrégée,Filière de formation détaillée bis,Coordonnées GPS de la formation,Capacité de l’établissement par formation,Concours communs et banque d'épreuves,Lien de la formation sur la plateforme Parcoursup,Taux d’accès,Effectif total des candidats en phase principale,Effectif des candidats néo bacheliers généraux en phase principale,Effectif des candidats néo bacheliers technologiques en phase principale,Effectif des candidats néo bacheliers professionnels en phase principale,Effectif total des candidats en phase complémentaire,Effectif des candidats néo bacheliers généraux en phase complémentaire,Effectif des candidats néo bacheliers technologique en phase complémentaire,% d’admis néo bacheliers sans mention au bac,% d’admis néo bacheliers avec mention Assez Bien au bac,% d’admis néo bacheliers avec mention Bien au bac,% d’admis néo bacheliers avec mention Très Bien au bac,% d’admis néo bacheliers avec mention Très Bien avec félicitations au bac,% d’admis néo bacheliers généraux,Dont % d’admis avec mention (BG),% d’admis néo bacheliers technologiques,Dont % d’admis avec mention (BT),% d’admis néo bacheliers professionnels,Part des terminales générales qui étaient en position de recevoir une proposition en phase principale,Part des terminales technologiques qui étaient en position de recevoir une proposition en phase principale,Part des terminales professionnelles qui étaient en position de recevoir une proposition en phase principale
2025,lycée sainte geneviève,versailles,versailles,formation sélective,cpge,ecg - mathématiques approfondies + hgg,"48.8024,2.15426",78,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=31881&typebac=0&originepc=0,15,963,901,0,0,0,0,0,0.0,0.0,1.0,46.0,53.0,100.0,100.0,0.0,0.0,0.0,100,0,0
2025,"institut protestant de theologie, faculte libre de montpellier",montpellier,montpellier,formation sélective,autre formation,"aumônerie protestante, médiation et société",,50,,,,20,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2025,lycée hippolyte fontaine,dijon,dijon,formation sélective,bts,"fluide, énergie, domotique - option b froid et conditionnement d'air","47.3173,5.05106",12,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=3189&typebac=0&originepc=0,77,88,3,19,55,7,0,0,75.0,0.0,25.0,0.0,0.0,12.0,0.0,25.0,0.0,62.0,6,20,74
2025,université d'amiens,amiens,amiens,formation sélective,autre formation,"animation et gestion des activités physiques, sportives ou culturelles","49.8764,2.26387",35,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=31899&typebac=0&originepc=0,67,448,209,81,47,0,0,0,43.0,48.0,10.0,0.0,0.0,62.0,24.0,10.0,10.0,29.0,73,12,14
2025,université grenoble alpes,grenoble,saint-martin-d'hères,formation non sélective,licence,physique,"45.1915,5.76529",135,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=31928&typebac=0&originepc=0,nd,1904,1313,60,10,71,6,1,35.0,33.0,24.0,9.0,0.0,93.0,64.0,4.0,2.0,4.0,nd,nd,nd
2025,université grenoble alpes,grenoble,saint-martin-d'hères,formation non sélective,licence,mécanique,"45.1915,5.76542",90,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=31943&typebac=0&originepc=0,73,1373,757,149,13,26,2,2,37.0,23.0,33.0,5.0,0.0,91.0,58.0,7.0,2.0,2.0,89,11,0
2025,lycée le castel,dijon,dijon,formation sélective,bts,management commercial opérationnel,"47.3126,5.03653",24,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=3195&typebac=0&originepc=0,25,1151,157,462,322,0,0,0,31.0,38.0,31.0,0.0,0.0,6.0,6.0,44.0,12.0,50.0,13,50,37
2025,lycée les catalins,grenoble,montélimar,formation sélective,bts,economie sociale familiale,"44.57,4.76063",30,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=31959&typebac=0&originepc=0,53,297,30,96,104,0,0,0,44.0,48.0,8.0,0.0,0.0,8.0,4.0,52.0,20.0,40.0,13,49,39
2025,lycée le castel,dijon,dijon,formation sélective,bts,comptabilité et gestion,"47.3126,5.03653",24,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=3196&typebac=0&originepc=0,33,661,149,224,105,0,0,0,44.0,33.0,22.0,0.0,0.0,11.0,0.0,50.0,28.0,39.0,27,44,29
2025,université grenoble alpes,grenoble,saint-martin-d'hères,formation non sélective,licence_las,mathématiques et informatique appliquées aux sciences humaines et sociales,"45.1925,5.77336",10,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=32007&typebac=0&originepc=0,nd,243,153,8,1,2,2,0,83.0,0.0,17.0,0.0,0.0,100.0,17.0,0.0,0.0,0.0,nd,nd,nd
